emp_no,last_name,first_name,gender,salary,to_date
417278,Aamodt,Roselyn,F,40000,9999-01-01
471383,Aamodt,Mohammed,M,40000,9999-01-01
486726,Aamodt,Vugranam,M,55806,9999-01-01
265157,Aamodt,Narain,F,48088,9999-01-01
99276,Aamodt,Takanari,M,85243,9999-01-01
218417,Aamodt,Moto,F,64792,9999-01-01
492771,Aamodt,Odoardo,M,60093,9999-01-01
275120,Aamodt,Jaideep,M,57206,9999-01-01
484934,Aamodt,Magy,M,40000,9999-01-01
428594,Aamodt,Breannda,M,87334,9999-01-01
252763,Aamodt,Felicidad,F,40000,9999-01-01
27413,Aamodt,Phuoc,F,55604,9999-01-01
419084,Aamodt,Shen,M,74877,9999-01-01
483416,Aamodt,Kwan,F,40000,9999-01-01
49007,Aamodt,Hiroyasu,M,40000,9999-01-01
87637,Aamodt,Qingxiang,M,40000,9999-01-01
68919,Aamodt,Licheng,F,40000,9999-01-01
255282,Aamodt,Sumant,F,40000,9999-01-01
29182,Aamodt,Arumugam,F,40000,9999-01-01
280448,Aamodt,Theron,M,87465,9999-01-01
460902,Aamodt,Nimmagadda,M,45509,9999-01-01
258861,Aamodt,Sigeru,M,40000,9999-01-01
461318,Aamodt,Fatemeh,M,54091,9999-01-01
231879,Acton,Kyoichi,M,61900,9999-01-01
286429,Acton,Gina,F,47777,9999-01-01
238752,Acton,Aluzio,M,53403,9999-01-01
490588,Acton,Hairong,M,40000,9999-01-01
297135,Acton,Bezalel,F,44022,9999-01-01
421304,Acton,Kwee,F,46489,9999-01-01
430990,Acton,Masamitsu,F,40664,9999-01-01
284152,Acton,Katsuyuki,M,58604,9999-01-01
291010,Acton,Danae,M,40000,9999-01-01
423543,Acton,Oldrich,M,43954,9999-01-01
252915,Acton,Jouni,M,60875,9999-01-01
213271,Acton,Djenana,M,72791,9999-01-01
223594,Acton,Janalee,M,40000,9999-01-01
73542,Acton,Shigehito,M,84958,9999-01-01
264083,Acton,Vojin,F,40000,9999-01-01
461027,Acton,Raimond,M,61256,9999-01-01
463214,Acton,Toshimo,M,40000,9999-01-01
40881,Acton,Hatem,F,40000,9999-01-01
408216,Acton,Shridhar,M,45810,9999-01-01
90793,Acton,Jinpo,F,47728,9999-01-01
286608,Acton,Giri,M,40912,9999-01-01
68258,Acton,Kerryn,F,40000,9999-01-01
103235,Acton,Kazuhito,M,65899,9999-01-01
413496,Acton,Naftaly,F,92944,9999-01-01
34354,Acton,Kristen,F,52117,9999-01-01
261695,Acton,Giri,M,57189,9999-01-01
429297,Acton,Becky,M,62115,9999-01-01
260670,Acton,Divine,M,40717,9999-01-01
272887,Acton,Baziley,F,40000,9999-01-01
299405,Acton,Werner,M,64219,9999-01-01
488767,Adachi,Lubomir,M,40000,9999-01-01
282838,Adachi,Toong,M,58257,9999-01-01
253745,Adachi,Krassimir,M,63262,9999-01-01
297948,Adachi,Kristinn,F,40000,9999-01-01
463464,Adachi,Conor,M,62210,9999-01-01
73465,Adachi,Susanne,M,57800,9999-01-01
405140,Adachi,Stella,M,58697,9999-01-01
295836,Adachi,Haldun,F,48646,9999-01-01
480775,Adachi,Pradeep,F,76897,9999-01-01
221592,Adachi,Gift,M,40673,9999-01-01
20043,Adachi,Chikara,M,53571,9999-01-01
69173,Adachi,Georgy,F,40000,9999-01-01
14659,Adachi,Sashi,F,40926,9999-01-01
448808,Adachi,Yannik,F,47125,9999-01-01
225760,Adachi,Subhrajyoti,M,47857,9999-01-01
407559,Adachi,Hironoby,F,40000,9999-01-01
428705,Adachi,Tommaso,F,59399,9999-01-01
462289,Adachi,Kenroku,M,44191,9999-01-01
438207,Adachi,Elvis,M,42133,9999-01-01
223389,Adachi,Shuho,M,82793,9999-01-01
92027,Adachi,Georg,M,40000,9999-01-01
98293,Adachi,Jayesh,M,40000,9999-01-01
108548,Aingworth,Sajjad,M,48304,9999-01-01
445769,Aingworth,Theirry,F,52607,9999-01-01
11441,Aingworth,Marlo,M,67352,9999-01-01
458615,Aingworth,Paraskevi,F,40000,9999-01-01
435606,Aingworth,Kerhong,M,56684,9999-01-01
460473,Aingworth,Gregory,F,56580,9999-01-01
109623,Aingworth,Parviz,F,60639,9999-01-01
40533,Aingworth,Kiyotoshi,M,40000,9999-01-01
275285,Aingworth,Mana,M,44323,9999-01-01
282119,Aingworth,Foong,M,40000,9999-01-01
239745,Aingworth,Giao,M,40000,9999-01-01
460876,Aingworth,Vidar,M,40000,9999-01-01
70519,Aingworth,Mohammad,M,40000,9999-01-01
205568,Aingworth,Abdelghani,F,72325,9999-01-01
485584,Aingworth,Uzi,M,40000,9999-01-01
422100,Aingworth,Kotesh,F,42601,9999-01-01
439694,Aingworth,Eric,F,40000,9999-01-01
98358,Aingworth,Basim,M,53905,9999-01-01
42541,Aingworth,Ferdinand,M,40000,9999-01-01
